Date, Race Name, Location, Distance, Time, Place, Full Results
2019-08-03, Jamaica Pond Parkrun #73, Boston MA, 5K, 17:59, 1/113, https://www.parkrun.us/jamaicapond/results/weeklyresults/?runSeqNumber=73
2019-08-09, Peak to Brew Leg #7, Lake Placid NY, 3M, 20:22, X, https://runsignup.com/Race/Results/21378/#resultSetId-166780
2019-08-09, Peak to Brew Leg #19, Blue Moutain Lake NY, 12.3M, 1:22:37, X, https://runsignup.com/Race/Results/21378/#resultSetId-166780
2019-08-10, Peak to Brew Leg #31, Turin NY, 6M, 39:45, X, https://runsignup.com/Race/Results/21378/#resultSetId-166780
2019-08-11, Blue Mountain Sizzler, Blue Mountain Lake NY, 5K, 18:40, 1/?, http://bluemtsizzler.com/
2019-08-24, Jamaica Pond Parkrun #76, Boston MA, 5K, 18:10, 1/99, https://www.parkrun.us/jamaicapond/results/weeklyresults/?runSeqNumber=76
2019-08-31, Jamaica Pond Parkrun #77, Boston MA, 5K, 17:45, 1/132, https://www.parkrun.us/jamaicapond/results/weeklyresults/?runSeqNumber=77
2019-09-07, Jamaica Pond Parkrun #78, Boston MA, 5K, 17:22, 2/100, https://www.parkrun.us/jamaicapond/results/weeklyresults/?runSeqNumber=78
2019-09-14, Jamaica Pond Parkrun #79, Boston MA, 5K, 17:06, 1/100, https://www.parkrun.us/jamaicapond/results/weeklyresults/?runSeqNumber=79
2019-09-22, Brian Honan 5K, Allston MA, 5K, 17:02, 3/696, https://my.racewire.com/results/36026
2019-09-28, Marsh-Billings-Rockefeller Parkrun #18, Woodstock VT, 5K, 19:08, 1/17, https://www.parkrun.us/marshbillingsrockefeller/results/weeklyresults/?runSeqNumber=18
2019-10-05, Jamaica Pond Parkrun #82, Boston MA, 5K, 16:57, 1/88, https://www.parkrun.us/jamaicapond/results/weeklyresults/?runSeqNumber=82
2019-10-06, Franklin Park Mile, Boston MA, 1M, 4:49, 1/19, https://my.raceresult.com/139386/#0_9D1D1A
2019-10-11, Ragnar Trail Wawayanda Lake Leg #7, Green Loop Wawayanda State Park NJ, 3.9M, 27:31, X, http://www.racetecresults.com/results.aspx?CId=16432&RId=4176
2019-10-12, Ragnar Trail Wawayanda Lake Leg #15 Red Loop, Wawayanda State Park NJ, 5.1M, 42:34, X, http://www.racetecresults.com/results.aspx?CId=16432&RId=4176
2019-10-12, Ragnar Trail Wawayanda Lake Leg #23 Yellow Loop, Wawayanda State Park NJ, 6.7M, 53:17, X, http://www.racetecresults.com/results.aspx?CId=16432&RId=4176
2019-10-19, Jamaica Pond Parkrun #84, Boston MA, 5K, 17:01, 1/109, https://www.parkrun.us/jamaicapond/results/weeklyresults/?runSeqNumber=84
2019-11-02, Jamaica Pond Parkrun #86, Boston MA, 5K, 17:17, 1/94, https://www.parkrun.us/jamaicapond/results/weeklyresults/?runSeqNumber=86
2019-11-09, Jamaica Pond Parkrun #87, Boston MA, 5K, 17:20, 1/105, https://www.parkrun.us/jamaicapond/results/weeklyresults/?runSeqNumber=87
